"type"	"type_n"
"ALGORITHM DOCUMENTATION"	128
"ALGORITHM INFORMATION"	1
"ALGORITHM THEORETICAL BASIS DOCUMENT (ATBD)"	13
"ALTERNATE DATA ACCESS"	1
"ANOMALIES"	2
"BROWSE"	423
"CITING GHRC DATA"	2
"COLLECTION DOI"	1
"DATA RECIPE"	10
"DATA SET LANDING PAGE"	5
"DOI"	2
"DOWNLOAD SOFTWARE"	120
"GENERAL DOCUMENTATION"	176
"GET RELATED VISUALIZATION"	226
"GOTO WEB TOOL"	5
"GUIDE"	1
"HOMEPAGE"	2
"HOW-TO"	460
"IMPORTANT NOTICE"	1
"MICRO ARTICLE"	79
"OPENDAP DATA"	42
"PI DOCUMENTATION"	416
"PROJECT HOME PAGE"	376
"PUBLICATIONS"	371
"SOFTWARE"	2
"USER'S GUIDE"	459
"VIEW RELATED INFORMATION"	358
"WORLDVIEW IMAGERY"	1
